A=[-15,35,20,145,175,10;
-18,25,30,50,80,10;
-18,35,10,109,139,10;
-20,30,40,141,171,10;
-20,35,20,41,71,10;
-22,25,20,95,125,10;
-25,25,20,79,109,10;
-25,30,10,91,121,10;
-30,-15,20,91,121,10;
-30,-10,30,119,149,10;
-32,-10,40,59,89,10;
-32,-5,20,64,94,10;
-35,-15,10,142,172,10;
-35,-5,10,35,65,10;
-38,-10,20,58,88,10;
-40,-10,20,72,102,10;
-40,-5,20,149,179,10;
4,-45,20,87,117,10;
2,-40,40,72,102,10;
2,-35,10,122,152,10;
0,-45,10,67,97,10;
0,-35,40,92,122,10;
-2,-45,30,65,95,10;
-2,-35,10,148,178,10;
-5,-45,20,154,184,10;
55,-20,30,115,145,10;
55,-15,20,62,92,10;
52,-20,10,62,92,10;
50,-15,10,67,97,10;
48,-20,10,74,104,10;
48,-15,20,61,91,10;
47,-20,10,131,161,10;
45,-25,10,51,81,10;
45,-15,30,111,141,10;
27,35,20,139,169,10;
25,35,40,43,73,10;
25,32,10,124,154,10;
22,30,30,75,105,10;
20,30,10,37,67,10;
20,35,30,85,115,10;
18,25,20,92,122,10;
15,30,10,33,63,10;
15,35,20,128,158,10;
15,32,10,64,94,10;
-20,32,10,37,67,10;
-22,30,10,113,143,10;
-38,-5,10,45,75,10;
2,-45,10,151,181,10;
2,-38,10,104,134,10;
32,-15,30,116,146,10;
15,-30,19,83,113,10;
-15,-20,3,52,82,10;
-20,0,5,91,121,10;
15,10,16,139,169,10;
-10,10,16,140,170,10;
10,-15,19,130,160,10;
-10,-25,23,96,126,10;
-25,-40,20,152,182,10;
-30,-30,19,42,72,10;
-25,10,17,155,185,10;
5,15,9,66,96,10;
25,-15,3,52,82,10;
25,-30,6,39,69,10;
5,-20,17,53,83,10;
-5,-10,16,11,41,10;
1,-13,16,133,163,10;
24,-8,9,70,100,10;
0,10,21,144,174,10;
-9,2,27,41,71,10;
-5,19,23,180,210,10;
25,5,14,65,95,10;
23,15,8,30,60,10;
-38,10,5,77,107,10;
-20,-30,8,141,171,10;
-35,-45,16,74,104,10;
20,-38,31,75,105,10;
-17,-47,7,150,180,10;
-32,6,27,90,120,10;
-34,18,30,89,119,10;
7,-3,13,192,222,10;
9,8,10,86,116,10;
-13,-7,9,42,72,10;
-3,-19,14,35,65,10;
17,-21,18,96,126,10;
23,-27,2,87,117,10;
-19,-26,28,87,117,10;
-28,-26,13,90,120,10;
-16,8,19,67,97,10;
27,-45,25,144,174,10;
-3,-3,6,86,116,10;
9,-8,13,167,197,10;
13,-7,14,14,44,10;
21,2,3,178,208,10;
17,-2,23,95,125,10;
16,-13,6,34,64,10;
15,4,26,132,162,10;
-36,-32,35,120,150,10;
-14,2,9,46,76,10;
-14,-15,15,77,107,10;
-9,17,3,180,210,10]
